text,labels
Vizuri kabisa haiwezekane Mtu akiwa Mzima hawamjali sasa akifa siku ya Msiba unakuta wakipinga chakula Ni Heri walimwanga chakula walifanya vizuri sana haki ya  Mungu  ????????????,[1]
Wakoloni walikuwa wakandamizaji saiz hadi sisi kwa sisi tunakandamizana mwanawane.?,[3]
Waache wafe na tamaa zao...,[2]
"BlackFriday ilimalizika na mauzo yalienda kwa sana, faida ilikuwa nzuri na kubwa hadi tulipewa day-off",[1]
"Oh, umenishangaza kwakweli!",[5]
"Alizidi kuwa na furaha, na kutulia zaidi.",[1]
Ni nani wewe?,[5]
Aya ndio mambo tulikuwa tunayataka ongera sana baba la baba ,[1]
"Kwa taratibu za Tanzania hapo yupo uchi, labda angevaa dera...",[0]
"Majitu ya kigoma yanajifanyaga yanajiamin sana sasa wote wananchi mnamshambulia mwenzenu hamjali uhai wake daah,sheria si zipo",[4]
Wanapenda kuvuna wasichopanda.,[4]
Hivi huyu kwanini asipewe mkoa kabisa?,[5]
"Hakuchukulia kawaida, ilimuudhi hadi kufikia kujiuzulu",[2]
"Maskini wee, Ilikuwa ndoto .",[3]
Kumbe na nyinyi huwa mnaumia ?,[5]
KAONGEA POINT KABISA NINGEKUWA MIMI NDO NINADHAMANA YA KUFANYA MAAMUZI,[1]
Ulitaka ngapi?? Zinatosha kwa idadi ya wagonjwa tulio nao!! Tutakuwa tunaagiza kwa kadri tutakavyohitaji!!,[5]
"Katika siku 10 za mwisho za uchaguzi huo, hata hivyo, alikua mwenye furaha zaidi, ingawa watoto walibaki bila kujua. ",[1]
Hivi hao watu walochota mafuta wana roho za aina gani ikiwa juzi tu wameona ajali ya Morogoro watu wameteketea kwa moto,[2]
Aliangukia mlango wa nyuma kwa nguvu sana hivyo maumivu yalionekana kumtafuna na sura yake ikabadilika. ,[3]
Huyu muongo anaongea pumba tu,[4]
Mmoja akikosa hicho awe mama ama mke ni sawa kukemea. ,[4]
ujambazi wa safari hii ni wa pekee. ,[6]
Piga chiniiii hao unasubri nini,"[2, 4]"
 Tutapoteza wengi kwa mzaha wa wachache tusipojitafakari,"[2, 4]"
Nini ?hujui jambo la kwanza kuhusu bustani wewe !,[5]
Vifo ni vingi mpaka naogopa ????,[6]
"Ndege mapema huwa wanakamata visamaki, nafurahia kutazama.",[1]
Leo umejua kunichekesha...Lol,[1]
ndoa ni mateso dadaangu mimi nimeteseka sana sina hamu na ndoa,[3]
"Kufuatia uamsho wa jana katika bahati, soko la hisa la London lilikuwa katika hali ya huzuni wakati Hazina iliahirisha matarajio ya kupungua kwa kiwango cha riba mapema. ",[3]
Wamebugi bado.,[4]
Eti msaada! Duh!,[5]
"Ilikuwa ni furaha , Bibi . Robinson .",[1]
Ataendelea kuwa mwanasiasa machachari nje ya ulingo for the rest of his life.,[1]
"waliochota pesa na wanaozifuatilia zirudi, wote si wajinga! wanajua kinachoendelea.",[4]
"inaokoa sana..,mi nilipata ajali ma subaru impreza hiyo kitu ikaniokoa",[1]
"Watu humu ndani ni wapumbavu wengi Sana, Serikali inapitia upya tozo na vifurushi Ili kupunguza gharama tofauti na ambavyo walipitisha awali ila majitu Kazi kupayuka,kutukana.",[4]
anakwepa swali makusudi sidhani kama hajaelewa,[4]
Tatizo letu watanzania tunapenda kudanganywa kwa kupambwa ,[4]
Yani wewe hizo shughuli zako haziishi Mara soda umetoka ufagio Mara nguo si begi usijui unatafuta nini,[1]
Inatupasa kuacha ubinafsi uliopitiliza kiwango.,[4]
Kweli ? Umewezaje kuwa na uhakika kuhusu muda ?,[5]
Kufundisha hesabu ni ulevi.,[2]
Kuna watu wanaohudumu katika vyombo vyakutenda haki wanaitiia aibu serikaki kesi gani zaidi ya miaka 20 haiishi,[4]
idadi ya vifo nchini inazidi kuongezeka na nchi za nje,[3]
"Hiyo nguo ni nzuri haswa, usiivue..",[1]
"Na kwa vile matarajio ya taaluma mbali mbali, za wanafunzi, za ""sehemu ya tatu"" zilivyoongezeka, ndivyo pia ilizidi kuongezeka kwao. ",[2]
Angalia ! Akaunti Yangu ya kwanza benki na bado ina fedha za kutosha!,[5]
"Hivi kama miwaziri inajipanga foleni na kunywa dawa, na kujilamba hadharani kwa kitu ambacho hakijathibitishwa kisayansi...",[5]
Hapa?wahusika wanapaswa kulitolea maelezo ili kuondoa sintofahamu,[0]
"Wooh, panang'aa na ni pasafi. Kuta pia zimepakwa rangi mpya",[1]
`hatujapewa zawadi ile ile inayopeanwa kwa wenyeji wa Beirut <\ sababu,[3]
Sisi ni wanyonge na wahitaji kuliko hapo zamani! ,[3]
"Kama mkewe alikuwa ameshapona, hakukuwa na rafiki ambaye angeweza kushiriki huzuni aliyohisi juu ya mtoto wake. ",[3]
Inaonekana kwamba nimepoteza tiketi yangu ya treni .,[3]
Basi huyo kwa mumewe analialia mpaka unaweza ukamuonea huruma,[0]
Hawa wasituone wajinga huu mti ni wa kawaida tu mlangali huu,[4]
nisaidieni hata pa kulala tuu,[3]
ni masikitiko na kilio kila kona ya taifa kwa kumpoteza mwanasiasa mkokwe na mzalemdo,[3]
"Kusema kweli, mama yangu alitengeneza kuanzia mwanzo",[1]
Amechanganyikiwa.. Ushoga huwa unaanza hivi hivi kuanza Kutamani uzae na mwanaume mwenzio,"[2, 4]"
"Sasa nyie hamjikingi, watu wanakufa hamtoi takwimu, walioambukizwa hamtaji mnafanya siri unategemea nn?? ",[4]
Asante . najaribu kuweka katika sura nzuri.,[1]
Aisee ni shida,[3]
Anajua vitu hatariii kumdanganya sio rahisii,[1]
Mchawi uyo,[4]
"Akigonga, akijaribu kushikilia maharamia watano na kula barafu-barafu, Perdita hakuonewa. ",[1]
Na wewe pia?! Maajabu,[5]
Walimwengu ni watu basi??.yule baba na utu wake wote ule huwezi amini hakuna mtu amemchangia hadi amezidiwa,[3]
Kweli ? Hiyo ni ajabu !,[5]
kwa hiyo umetumwa na mbwa wanaovaa magwanda na kubeba silaha tulizowanunulia uandika haya mavi? Hatudanganyiki?,"[2, 4]"
kwangu umeacha legacy kwa uamuzi wako mgumu na sahihi kuhusu corona,[3]
"Nizaidi ya masaa sasa tuko hapa analia tuu, haongei chochote na wala hatujui analia nini","[3, 5]"
Imeniumiza sana sana pole sana,[3]
" Inaniskitisha kufikiria kuwa nitakufa, na kumwacha mtoto huyu masikini",[3]
Unataka kuwa Tajir na kazi hutaki hata kulima bustani hutaki KISA una kadegree kako kamoja ati na wewe ni msomi?????,[5]
Ajuza senge sana hili,[4]
Aligundua kwa mshangao kuwa kweli alikuwa akiombea. ,[5]
Siamini kama Obama ni Rais wetu na ni mwafrika .,[5]
Mkopo wa treni bado mjamaliza kwa wachina,[3]
Inabidi Twende Tukashtak Wanafanishaje Nyama Na Mnavu,[5]
Kama umeona uchaguzi kwanini ulikuwa unagombea acha kuichafua nchi ,[4]
Wamewaua mateka wengine kumi jana.,"[3, 4]"
Nini kimekuleta wewe hapa leo ?,[5]
Unaweza kuelezea kinagaubaga hizo habari za wivu wangu watu wakuelewe una hoja na hujabwabwaja kwa kushindwa kujadili mambo kwa hoja?,[4]
Mwaka huu tutatafuta sababu zote. Ila ukweli mchungu?,[0]
 Kitanda kidogo cha wageni nyumbani kilitayarishwa kwa ajili yake,[1]
" Halafu walicheka na kusema, ""kweli, wewe ni mjinga, utampata wapi mwingine kama huyo?""",[5]
"Sawa mkuu, kwa hivyo twakwimu za vifo vya covid dunian kwa hii miaka 2 inaweza zidiwa na malaria siyo",[5]
kwanini huyo kapigiwa kelele,[5]
Tunatakiwa kumtanguliza Mungu mbele kweli wanaokwenda jela sio wote wana makosa wanaenda kwa kusingiziwa ,"[3, 4]"
Allah tusamehe waja wako hatujui tuyatendao,[3]
Mshamba mkubwa Wewe na najua kabisa kuwa Sindano yangu imekuingia vizuri kabisa.,"[2, 4]"
" itafika wakat na sisi mashabiki hatutaingia uwanjan, soka ni furaha ila sasa karaha",[4]
Mbona kelele zinaashiria uepo wa watu wengi??! Wapo wangapi kwani??,[5]
Latifa ni msumbufuu jaman dooh,[5]
Kwanini hakutumia online banking zenye app codes,[0]
Shida yake huyo bibie anaupeleka ustaa wa kaka yake kwenye ndoa,[4]
Inaumiza sana  mtu  tunashindwa  kumjali  wakati  mzima  akifa  ndiyo  mapochopocho  kibao  nimewapenda hao  vijana,[3]
Eti zuchu naye anajikuta anamzidi kiba ustar mpaka kanavimba,[5]
"Mtihani umekaribia na siko tayari . Je, unaweza kuniambia jinsi ya kupata alama nzuri ?",[6]
"Oh , bouquet ya maua .huyu ndo wewe nnayekujua.",[5]
Lakini yatapita undugu huu kwenye system sitaki kuamini kama wao ndo wanasifa pekee yao hapo kutakuwepo na mambo ya mama kanileta ya vimemo vimetumika lakini sawa ya dunia yatapita ,[4]
Nina hofu kuwa umeanza kuwa na kilo kupitiliza. Unapaswa haswa kuacha sigara . Hiyo ni sababu kuu ya wewe kuwa na afya mbaya.,"[3, 6]"
Enzi za ulevi wake?????€?? Mbavu zangu mie??????,[5]
"nawezaje kutulia na kuchukulia kawaida, ameniudhi sana",[2]
"kabsa,ikuwa ajali mbaya ya barabarani, gari ilipondeka kama kopo .",[3]
Sasa mbna mtangazaji unazidi kumuumiza huyu baba maswali hayo hayo humuoni anaelezea ila anaumia ,"[2, 3, 4]"
"Huna haja ya kuwa na haraka, punguza jazba na kitu kitaenda sawa",[2]
"Wakati uhusiano wangu na familia yangu ni duni sana mimi huogopa kutengwa na kikundi, hofu ambayo ina nguvu zaidi ndani hali wakati hoja iko.",[6]
Jibini ! Ina ladha kama kitu flani nsichopenda,[4]
"Niliyoyasikis sitaki kuamini kama ni nyie ndo mliozungumza, hata aibu hamna",[2]
"Nddo unanambia una wiki moja tu umejifunza kucheza piano, kwa utaalamu huo??",[5]
`Nilikuwa wazimu. ,[2]
Nini tatizo? Hukujua kuwa itakuwa ni furaha ? !,[5]
Looh!! Jamaa katupiga kamba kweupe kabisa,[5]
Kweli ? Kwa nini ?,[5]
Mimi pia amechoka sasa . Nimefanya kazi kwa masaa 12 ya muda wa ziada !,[4]
 Leseni hapo tutaambiwa ni shilingi laki kadhaa....chanzo cha mapato hapo chatafutwa. ,[4]
Mama ! Nazichukia hizo mboga !,[2]
SASA HICHO CHA KULA SI MNGE WAPELEKEA MASIKINI WAKALE KULIKO KUKIMWAGA !,[5]
Kweli ? Yeye ni kubwa sana .,[5]
" Rekodi ya onyesho hili angavu itaishi katika kumbukumbu ya mwanadamu, kwani kupitia hiyo mwanafunzi katika shule ya kijeshi alitoa machozi ",[3]
Kwenye elimu hapo kimei umeongea vyema,[1]
"Hakika taifa lipo kwenye hatari,, vifo ni vingi mno,, jana nimepata taarifa za vifo viwili nyumban kabisa na ni hii changamoto ya kupumua","[3, 6]"
" Kaizari alifurahi sana kwamba alitangaza usiku wa manane anapaswa kuwa na kitambaa chake cha dhahabu cha kuvaa shingoni mwake, lakini alikataa heshima hiyo kwa shukrani: alikuwa ameshapewa tuzo ya kutosha.",[1]
Hili gauni ni kwa ajili yako. Natumaini utalipenda.,[1]
Inatufundisha kuwa kila mtu apende kwao,[0]
Hiyo ni kweli . Mume wake ni kama paka.,[4]
Bei ilitambuliwa kuwa ya chini sana na bima nyingi zilianza kuwa za wasiwasi,[6]
 Ongeza na tukiacha woga Mbingu tutaiona hata nyerere alituambia,[6]
 Wazazi wameshtushwa na mimi nimechukizwa kabisa. ,[6]
"Mheshimiwa , naomba tafadhali kuona leseni yako na usajili ? Je, unajua mwendo uliokuwa unakwenda ?",[5]
Nimependa skirt yako mpya .,[1]
"siwezi kutembea usiku, labda tuwe watu wengi",[6]
Najivunia kuzariwa mwanamke Allahmdulillah ??????? Allah akurinde mama yetu kipenzi chetu rais wetu  ,[1]
"""Maisha yetu yalibadilika wakati baba alikufa. Tulitazamia sana kanisa kutusaidia. Rose Muhando ndiye anayenilea katika muziki wa injili na ndiye alilipia albamu yangu ya kwanza...""  Anastacia Mukabwa",[3]
"Kwa kweli ninatarajia atakuwa wazimu. """,[2]
Nina uhakika. Hebu tununue utafurahia .,[1]
Wamjengee ukuta kama wa Mererani,[0]
Nilitaka kwenda kuvua samaki leo lakini nimesahau vitendea kazi vyoote na samaki ni wengi sana leo,[3]
Mzee unaanzaje kushangilia wizi hata wao waloiba wanaona aibu kuwa na Furaha,[4]
unaweza vipi kusahau hifadhi ya tamasha tiketi ?,[5]
We muonekano wako nisodoma na gomola ili mungu atuepushe na ww akupe ukoma hatakidoogo tuuu ,[2]
"mpe anayetaka asiyetaka ACHANA NAE, shida ipo wapi",[2]
"Kweli, bwana. Lete tuonje tuone kama kweli unajua kupika",[0]
Huo mualiko alioenda kuutoa huko ni kwaajili ya watu gani?? wakulima au wafanyabiashara??,[5]
siwezi kuamini hivyo !,[5]
" Watu ufa na kuzaliwa kila siku ila kwa kipindi hiki kumekuwa na idadi kubwa ya vifo tena kwa changamoto ya upumuaji, take note kaka",[3]
Wangechomoa betri ningefurai sana. Sukuma ndani miaka buku,[2]
"Wakati Ramsey alipokuja kusoma kitabu mwenyewe, baadaye maishani, alishangaa, na wakati mmoja akapasuka akicheka ,. ",[5]
Nimekuwa na wakati mgumu kulala siku za hivi karibuni .,[3]
Mzee Mpili anasema alisikitishwa sana na vitendo vilivyokuwa vikiendelea pale mtaani,[3]
Unaongelea Kuchumbiwa ? Ameolewa kabisa ana ndoa .,[5]
umesikia lakini alichonambia ?,[2]
Hey ni wewe ? Kwa muda mrefu hatujaonana !,[1]
"Uliyoyaandika mwanzo naona ""bado jujanipata"" ila ya chini yote naona kuwa umenielewa.?",[0]
Alionekana kuwa na furaha. ,[1]
umefanya jambo jema sana leo kumtambulisha MKE wako hadharani na pia kumshukuru hadharani.,[1]
nimekuwa na hizi fikra na  hisia juu ya  kwamba kitu mbaya kinaweza  kutokea,[3]
Huyo anaulinzi tosha kutoka kigoma,[0]
Dada mungu akubariki sana kwa kuamua kusema ukweli naamini utasamehewa,[1]
Angeomba Radhi Yeye Ingekua Na Nguvu Zaid,[0]
Sasa watu wanapanga mambo vizuri ndio anajidai. Alikuwa wapi sizu zote.,"[4, 5]"
Hata hivyo watabaki werevu kadhaa na watarejesha nchi yetu kwenye mstari,[0]
hizi sio bangi tu....ni bangi mbichi na njaa!!!,[4]
Yeah . Jumla ya GPA  yangu inaogopesha hadi sasa .,[3]
Hivi mnapo zungumzia STANDARDS mnataka standards zipi?,[5]
Wazazi wangu walikuwa nje na mimi ndiye mkubwa nyumbani. Usiku wa manane mgeni wa kiume alitupigia simu na alizungumza nami kwa lugha mbaya. Nilifunga na nikasikia mtu akitembea nje ya mlango wetu. ',[6]
INAWEZEKANAJE??! duuu ,[5]
"Kwa sababu ya uchovu, hata asubuhi ninapoamka ninaona ugumu kufanya chochote kile",[3]
Badala ya kushughulikia mambo ya maendeleo yenyewe inabaki kushughulikia mijitu ya kwenye mitandao ambayo mingi iko ughaibuni.?,"[2, 4]"
"Wewe kweli umeingia katika siasa juzi tu. Hivi madudu ya BUZWAGI, SYMBION, MEREMETA, RICHMOND, DOWANS, yalipoibuliwa na @zittokabwe alipokuwa mwenyekiti yote hayo huyajui? Au unajitia macho kumchuzi",[2]
Oh kweli? Umefanya nini?,[5]
wewe ni mpumbavu kweli ...unataka kusema wewe unauelewa zaidi kuliko mtu ambaye yupo jikoni anayejua mambo chungu nzima ya nchi yake?!!,"[2, 4]"
"Utajikuta umekamatwa na trafiki unadaiwa faini ya parking 300,000/-",[0]
Pole tena kwa yaliyokikumba ndugu yangu. Mungu ni mkubwa amekuokoa.,[3]
Jamaa bila kujichubua alikua bonge la handsome sijui alikwama wapi huyu mwamba??,[5]
Kama CORONA haipo hivi vifo vinavyoshamiri kila kona kwa sasa vinasababishwa na kitu gani?,[5]
magu anawatoaga watu hawa wapi jamni??,[5]
"Kweli ? Wow , ni nzuri .",[5]
Hebu sikiliza Kwanza mazungumzo Yao alafu urudi kucoment,[0]
 Alimkumbatia na kulia kwa furaha aliyokuwa nayo,[1]
`Nilifurahishwa sana. ,[1]
nina wasiwasi unaelekea mwelekeo wa tofauti.,[3]
Kunaweza kuwa na kesi ambapo kuna wabunge kutokufaulu juu ya pendekezo la waziri na kisha waziri akaja na mabadiliko. ,[6]
ninahisi wasi wasi juu ya kuzungumza kuhusu hili,[6]
 Ni vifo vya kawaida tu tusihofu. Pole kwa familia,"[3, 6]"
Sikuhizi Simu Yako inadumu Kuliko Hata Mahusiano Yako!????,[0]
"Mimi sijaenda kwenye mahojiano bado . Ni kesho, nina uwoga.",[6]
Rais aliye madarakani atahudumu kwa vipindi vyote viwili kwa mujibu wa katiba ya JMT.,[0]
Kauli mbiu ya wajuba... Haulambi,[0]
hakuna hata barua mpaka sasa hivi ? ni tayari jioni imefka. Siamini,[5]
Kulikuwa na huzuni ya kweli katika sauti ya mtengenezaji. ,[3]
"Chochote ninachotaka, yeye anataka, na amefurahiya. ",[1]
Mikono inatetemeka! Raisi wetu jamani! Uuiiii,[3]
"Kuna nyoka wakubwa sana maeneo haya, tuondokeni haraka wezekanavyo",[6]
Nzuri ikiwa una neva. ,[0]
Hawa virusi wameshambulia computer yangu na kufuta mafile yangu ya muhimu yote,[4]
matangazo yamezidi bwana aaaa,[2]
"Galileo aliyekasirishwa, aliweza kuonyesha msimamo wa mpinzani wake kwa kujitahidi sana ",[2]
Tunsikitika kuwaarifu kwamba ndege yetu imepatwa na hitilafu hivyo hatutakuwa na safari ,[3]
"Bwana Beddington alikuwa na aibu fulani, watu hawakupenda kumwona vile. ",[4]
"Hali ya hewa ilichafuka sana. Iliwanyeshea paka na mbwa usiku wa jana , lakini pamekuwa shwari asubuhi .",[5]
Oh . Hi Mike. nilienda snowboarding jana na mwili wangu wote unaumwa .,[3]
unadhani hyo chanjo utapewa BURE?,[5]
alitutazama kwa macho ya dharau na kejeli nyingi usoni mwake zilijidhihirisha,[4]
"shukrani, mimi pia nimeipenda. nimenunua katika duka la hapa jirani.",[1]
Poleni sana kwa msiba mulio pata mungu aziweke roh zenu mali pema peponi inauma sana,[3]
Kweli ushamba mtupu,[4]
Mnajisikia kama kwenda boating na mimi? twendeni  ,[0]
Makosa makubwa sana lakini HaKI lazima itendeke huyu aliye fungwa bure lazima apate HaKI.,"[3, 4]"
huyu mtoto kaniliza kweli ila mungu ni muweza wa yote flora mungu akujalie sana kwa kazi hii unayoifanya ,[3]
"Kwa wakati, labda, angefanya juhudi za kuficha hasira yake juu ya uwezo wake wa kumfanya ajisikie hatia, na angefanya juhudi kuficha uchungu wake juu ya kumpoteza. ",[3]
Acha tu tuendelee kuwa washamba.?,[0]
serekali ulihusishwa?,[0]
sitaki na utanifanya nini,[2]
Jinsi tunavyoshuhudia vifo vingi ndiyo inazidi kudhihirisha dunia ni mahali pa kupita tu,[6]
Halafu Kuna watoto wenye maziwa kwenye meno wanakuambia uchawi hamna....ihiii...dah...huwa nashangaa tu.....watu wanapigana pin daily,[5]
Huu wizi unafanyika sehemu nyingi naomba viongozi wa wilaya tuige utendaji kazi wa huyu mkuu wa wilaya.,[4]
Tangu kuanza kwa korona mwaka jana watu wengi wamekufa na wengi pia wameebaki mayatima kwa kuondokewa na familia zao na wapendwa wao,[3]
"Hamna dini, hii ni aibu",[4]
Wanapendana sana hadi kuna muda unawaonea wivu,[1]
"Nimletewa  chips na viazi, njoo tule pamoja kama hutojali?",[1]
Alitoa mguno kuashiria kuwa alipata maumivu ,[3]
Katika Tanzania si jambo la ajabu kabisa mtu kupewa madaraka katika fani asiyosomea. Mnakumbuka tulikuwa na Sarungi kama waziri wa ulinzi wakati ni doctor wa mifupa?.?,[4]
Kumbe hawapimwi DNA mahakama zinafanya ujinga,[4]
Acha kunitania basi,[5]
"Raheli aliweza kuona sababu ya hapo nyuma, lakini walakini alihisi hasira - sio kwa sababu alikuwa amefanya jambo sahihi, lakini kwa sababu alikuwa wazi kabisa katika udhibiti wa hali ambayo mara zote imekuwa mbali na Raheli. ",[2]
kunguru maji mweusi wewe??kenge mkubwa fala wewe,[2]
Msomi unashindwa kujilinda unataka ulindwe.,[5]
"Naam , unanijua jinsi nilivyo kuhusu mitihani .siwezi kutumia mda uliopangwa ni mchache sana",[3]
Wabunge wa Tory wenye hasira sasa wanataka kwenda katika Korti Kuu kulazimisha kura mpya. ,[2]
Ngoja akajifunze hekima kutoka jela maana huku mtaani ameona hapamtoshi,[4]
" Hofu na kutetemeka vilimjia alipomfikiria mama yake; alikuwa amemtuma siku moja kabla kupata pesa, alikuwa hajafanya hivyo, na sasa alikuwa na njaa na kiu.",[6]
"bwana, hii ni sehemu yangu pendwa ya sandwich ummm je, umechukua PICHA?",[1]
nitachelewa kwa sababu mimi nilisubiri kwa muda mrefu !,[2]
Eti huyo anaringa ?,[5]
la kusema kweli kama ni mimi mzazi huyo askar ningemnyoosha ,[2]
Hata kuangalia anashindwa pole sana manara iyo ndo yanga,[3]
Iweje wewe uone nguo? Kwanini huoni kinachoonekana?,[5]
unahisigi nini pale unapoenda kukabiliana na jambo ambalo hujawahi kulifanya na ni mara yako ya kwanza kupambana nalo,[6]
Atanichapa akijua ni mimi nimevunja,[6]
Crate moja ya bia ? Kwa nini kuna  haja kwani ?,[5]
mim huwa sina imani na mameno ya huyo mtu kabisaaa mana atatushauri sisi wakati yeye hutamwona akifanya chochote,[6]
"Sasa kama yule mbwiga ndio mshauri wake mkuu wa maswala ya uchumi , unategemea nini Gavana naye ndiokabisaaaaa",[4]
Yanayoelezwa ni mabaya na kwa kuwa hayajathibitishwa sina haki ya kuyaandika.,[4]
"Usiku wa leo, mmoja wa wahasiriwa wa Hadley alielezea hasira yake, na utulivu wake umepatikana na hatia. ",[2]
Huyu mzee alivyoona ung'eng'e umemkataa akaamua kumwaga mboga ili tukose wote!,[4]
Asante mtangazaj mana ndio nimejuwa Leo kama kapten alienda kulala alafu meli inaenda yenyewe si kwa uzembe huu ,[1]
Afadhali binti jamani. Pole kwa mapambano.,[1]
Watu wanakufa na mizaha ina endelea.,[3]
" Ondoka, sura mbaya kama mjusi wa zamani!",[2]
"Katika hosteli walikasirika kwa kuleta polisi, walitutaka tu, kwa kweli, na tulikuwa nje! ",[2]
Utamwambia nini baba yako akuelewe,[6]
noooooooooooo mimi naaangalia mengi ya picha lol lol,[1]
Umbea tu unawasumbua mamaeee zenu mnavosema mdogo kwani kavaa pampasi hapo etiii ooooh mwanamke mkubwa,[4]
"Kumbe ndivyo ilivyokuwa,daaa!!!!",[5]
"Bodaboda vijana woteee mmenifuraishaaaa sanaaaa,,,awalambiiiiiiii",[1]
"Ogopa mtu aliesomea Urusi, hawanaga mchezo wale!",[1]
"Oh , kweli ? Umepatia wapi ?",[5]
mahaba mahabani,[1]
"nadhani Kuna Jambo Sasa unalitafuta na utalipata tu, sio kwa matangazo hayo ya vifo kila siku.",[4]
"Mpeleke mahakamani ili apigwe stop kuja kwako, na haki yako ya nyumba za mwanzo utapata haki yako",[2]
 Hmmmm Vifo Vya Mwendokasi....Mungu awatie nguvu na awape faraja wafiwa!,[3]
"katika mechi ambayo yanga wamecheza vzur kwenye mapinduz cup, ni mechi hii ya simba pekeyake",[1]
Haujaenda yule nyoka amejificha sehemu tuu??mimi leo sitatoka nje kamwe,[6]
" Jamani kukojoa chini au chooni sio kosa, sasa mtu ameamua kukusanya mikojo nayo issue? ",[5]
Nilichoka nikaamua kupumzika hahaaaa sema tupo wengi ajira hakuna kaa umfulie mume nguo,[1]
Wasituingilie kama vp wangekataa toka mwanzo,[2]
Wewe ni Jembeee sana,[1]
"Watoto nyie mtanitoa roho, mbwa nyie","[2, 4]"
"Mkuu, taratibu kwanza",[0]
Mwanaume wa Dar unadhani ukijificha chini ya uvungu ndo majambazi hayatakuona?,[0]
"Nimefundishwa-sauti na sauti ya Kifaransa, ikiwa hasira. ",[2]
" Mtoto wake mzuri, na aliyekuwa na moyo mwema zaidi; alikuwa anampenda sana",[1]
Huyu dada kaniliza jamani wala si akili yake kwa kweli,[3]
"hahahaaa, yaan nimecheka jamn mpaka machozi.",[1]
umeongea ukweli mtupu mpaka Ndugai mwenyewe siku hizi anakukubali anabaki anacheka,[1]
"Wadada sahivi waongo eti nakuota afu usingizi upati, inawezakanaje hii??",[5]
"Mzee baba, unapiga maswali kiprofessional kweli kweli. Hongera kwa kazi nzuri.",[1]
Umeletwa ushahidi  hapa wa kukatwa mapanga,[3]
naomba namba ya kishimba tafadhali nina zawadi yake...kwani sifa za uwaziri ni nni,[1]
Sasa kwanini wanashindwa kugundua dawa? Huu ugonjwa kuna kitu kiko nyuma ya pazia.,[5]
" Sasa kulikuwa na huzuni kubwa, kwani ndege huyo angeweza kuruhusiwa kucheza mara moja kwa mwaka; na hata hiyo ilikuwa hatari kwa kazi zilizo ndani yake.",[3]
Muone muogaa kama mwanamke kumbe ni libaba zimaa,[6]
cjui mlipataje kazi hiyo mnakera,[4]
Una bata yako katika mstari .,[0]
Alikuwa bado anajisikia wasiwasi kidogo wakati anafikiria yote ambayo yangefanyika kabla ya kulala usiku huo. ,[6]
"Shinikiza nyingi inaweza kupita au bila kujua kuwekwa kwa watoto waliokua, kuwapa wajukuu kwa kufurahisha babu",[1]
Majonzi haya hayatawaacha salama wote waliopewa mamlaka ya kulinda uhai wa wananchi?,[4]
